bib_key,bib_file,author,status,used_in_book1,alt_text
2022_02_28_634e8079070800ac7e3cg-02.jpg,figures-static,{External source - needs attribution},OK,,"A hierarchical tree diagram classifying optimization models into Linear models (LP, MILP) and Nonlinear models (NLP, MINLP)."
2022_02_28_634e8079070800ac7e3cg-03.jpg,figures-static,{External source - needs attribution},OK,,"A two-dimensional graph with 'number of chairs' on y-axis and tables on x-axis, displaying a triangular feasible region for a furniture production problem."
2022_02_28_634e8079070800ac7e3cg-05.jpg,figures-static,{External source - needs attribution},OK,,Graph plotting chairs versus tables with a triangular feasible region and parallel dashed iso-profit lines for finding the optimal solution.
2022_02_28_634e8079070800ac7e3cg-10.jpg,figures-static,{External source - needs attribution},OK,,"Linear programming graph showing two overlapping feasible regions with dashed objective function level curves, illustrating constraint comparison."
2022_02_28_634e8079070800ac7e3cg-13.jpg,figures-static,{Open source discrete mathematics textbook},OK,,"Graph of chairs versus tables with a feasible region, iso-profit lines, and five black dots marking corner points for vertex enumeration."
2022_02_28_634e8079070800ac7e3cg-14.jpg,figures-static,{External source - needs attribution},OK,,"A two-dimensional linear programming feasible region plot with number of chairs on the y-axis and number of tables on the x-axis. The shaded blue region represents feasible integer solutions, with black dots marking integer lattice points along the boundary constraints."
2022_02_28_634e8079070800ac7e3cg-15-1.jpg,figures-static,{External source - needs attribution},OK,,A scatter plot showing the relationship between Revenue in dollars and Waste in pounds. The blue dots form a curved Pareto frontier illustrating the tradeoff between maximizing revenue and minimizing waste.
2022_02_28_634e8079070800ac7e3cg-15.jpg,figures-static,{External source - needs attribution},OK,,"A two-dimensional linear programming feasible region plot with number of chairs on the y-axis and number of tables on the x-axis. The shaded blue region represents feasible integer solutions, with black dots marking integer lattice points."
2022_02_28_634e8079070800ac7e3cg-19.jpg,figures-static,{External source - needs attribution},OK,,"A 3x3 grid of scatter plots comparing redistricting outcomes for nine U.S. states. Each plot shows various redistricting scenarios color-coded by compactness and representation percentages, with the 2010 enacted map marked."
2022_02_28_634e8079070800ac7e3cg-20.jpg,figures-static,{External source - needs attribution},OK,,"A simulated portfolio optimization scatter plot showing the efficient frontier, with volatility on the x-axis and returns on the y-axis. Stars mark the maximum Sharpe ratio portfolio and minimum volatility portfolio."
2022_02_28_634e8079070800ac7e3cg-21.jpg,figures-static,{External source - needs attribution},OK,,"A multi-objective aircraft design optimization plot showing sustained turn rate versus transonic range. Multiple curves represent different thickness-to-chord configurations, with MOGA solutions and Pareto frontier marked."
2022_02_28_634e8079070800ac7e3cg-22.jpg,figures-static,{External source - needs attribution},OK,,A lap time plot comparing performance on two different radius turns. The scattered points form a Pareto frontier showing the tradeoff between cornering performance at different speeds.
2022_02_28_634e8079070800ac7e3cg-23.jpg,figures-static,{External source - needs attribution},OK,,"A Pareto frontier plot showing the tradeoff between Cost in Euros and CO2 Emissions. Two regression lines with equations are fitted to different segments of the frontier, showing R-squared values."
CPalgorithm6.pdf,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,,"A cutting plane algorithm illustration showing a green convex polygon on a grid, with a magenta cutting line, a blue star marking a point of interest, and arrows indicating constraint improvement direction."
GraphExercise1.png,figures-static,"{David Lippman, Math in Society [CC BY-SA 3.0]}",OK,graphtheory-dor1.tex,"Six small square grids arranged in two rows of three, each containing different patterns of black dots at various positions, representing a graph theory or combinatorics exercise."
GraphExercise15.png,figures-static,"{David Lippman, Math in Society [CC BY-SA 3.0]}",OK,,"An outline map showing a geographic region divided into multiple irregular polygons representing districts or counties, suitable for a graph coloring problem."
GraphExercise2.png,figures-static,"{David Lippman, Math in Society [CC BY-SA 3.0]}",OK,graphtheory-dor1.tex,"A stylized map showing islands or landmasses in cyan connected by bridges shown as black rectangular segments, illustrating a Konigsberg-type bridge crossing problem."
GraphPicture.png,figures-static,"{David Lippman, Math in Society [CC BY-SA 3.0]; aerial base image by Sam Beebe [CC BY]}",OK,graphtheory-dor1.tex,"An aerial photograph of a residential neighborhood showing houses arranged in subdivisions with streets forming a network pattern, used to illustrate real-world applications of graph theory."
GraphPictureDot.png,figures-static,"{David Lippman, Math in Society [CC BY-SA 3.0]; aerial base image by Sam Beebe [CC BY]}",OK,graphtheory-dor1.tex,"A side-by-side comparison showing an aerial view of a residential neighborhood with red dots marking intersections, and the corresponding abstract graph representation with labeled nodes."
IP-feasible-region.png,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,LP-front-matter.tex,An integer programming feasible region showing a blue shaded LP relaxation polytope with green dots highlighting the integer feasible points within the region.
Illustration1.pdf,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,integerProgrammingFormulations-book1.tex,"A rectangular packing diagram showing 16 numbered cells in various colors with red dots marking specific cells, used to demonstrate space partitioning concepts."
Illustration2.pdf,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,integerProgrammingFormulations-book1.tex,"A rectangular region divided into 16 numbered cells with overlapping colored regions extending beyond boundaries, showing constraint coverage relationships."
Illustration3.pdf,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,integerProgrammingFormulations-book1.tex,"A planar graph with 16 numbered circular nodes connected by gray edges, showing adjacency relationships, where cyan nodes form an independent set."
Konigsberg_bridges.png,figures-static,"{Bogdan Giusca [CC BY-SA 3.0], via Wikimedia Commons}",OK,sources-attribution.tex,"A historical map of Konigsberg showing the seven bridges problem, with bridges highlighted connecting different land masses separated by the river."
LP-feasible-region.png,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,LP-front-matter.tex,"A two-dimensional plot showing a blue shaded polygonal feasible region bounded by green dashed constraint lines, illustrating the feasible set of a linear programming problem."
LP-figure.pdf,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,mathematicalProgramming.tex,"A linear programming visualization showing a light blue hexagonal feasible region with labeled vertices, an objective direction arrow, and a red objective function line."
LinearRegression.pdf,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,,A scatter plot showing data points of position versus time with a fitted orange linear regression line with equation r = 0.69t + 1.87.
MIP-feasible-region.png,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,LP-front-matter.tex,"A mixed-integer programming feasible region with blue shading showing the LP relaxation, vertical dark green bars indicating where integer restrictions apply."
MIR-Cut.jpg,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,,A whiteboard drawing illustrating the MIR cut derivation with the original constraint and the strengthened inequality.
SVM-plot.png,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,,A support vector machine classification plot showing two classes separated by a blue decision boundary line with parallel dashed margin lines.
Sorting_algorithms_comparison.pdf,figures-static,{Robert Hildebrand [CC BY-SA 4.0]},OK,,"Four line graphs comparing computation time of sorting algorithms against list size, showing quadratic growth for Bubble and Selection sort versus near-linear for efficient algorithms."
StripPacking0.png,figures-static,{Jamie Fravel},OK,integerProgrammingFormulations-book1.tex,"Strip packing problem input showing four rectangles with their dimensions labeled, alongside an empty strip where they need to be packed."
